time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-12-13T20:47:25.870Z,-4.4837,101.4662,41.61,4.5,mb,,108,6.94,0.93,us,us20004gxn,2015-12-13T21:15:47.320Z,"116km SW of Bengkulu, Indonesia",earthquake
2015-12-13T20:09:24.440Z,38.2907,72.9184,43.78,4.7,mb,,65,1.252,0.99,us,us20004gxj,2015-12-13T20:34:23.082Z,"92km W of Murghob, Tajikistan",earthquake
2015-12-13T17:31:07.910Z,-30.5621,-72.0337,10,4.7,mb,,146,0.361,1.2,us,us20004gx7,2015-12-13T17:50:00.054Z,"80km W of Ovalle, Chile",earthquake
2015-12-13T10:03:23.920Z,-11.1608,166.4455,86.46,4.8,mb,,72,4.324,0.77,us,us20004gvu,2015-12-13T18:06:08.089Z,"83km SE of Lata, Solomon Islands",earthquake
2015-12-13T08:31:15.750Z,-24.1944,-66.9564,182.5,4.6,mb,,40,2.388,1.14,us,us20004gvd,2015-12-13T16:33:46.181Z,"64km W of San Antonio de los Cobres, Argentina",earthquake
2015-12-13T06:42:11.060Z,-6.9137,129.9085,97.25,5.4,mb,,45,1.74,0.65,us,us20004gv8,2015-12-13T14:44:47.643Z,"193km NW of Saumlaki, Indonesia",earthquake
2015-12-13T05:53:20.730Z,54.9946,111.7368,14.19,5.1,mb,,38,5.874,0.83,us,us20004gv4,2015-12-13T13:56:03.096Z,"120km NE of Kurumkan, Russia",earthquake
2015-12-13T01:52:18.010Z,46.717,152.6172,57.91,5.3,mb,,127,6.766,0.75,us,us20004guj,2015-12-13T09:54:59.507Z,"Kuril Islands",earthquake
2015-12-13T01:47:09.900Z,3.4538,127.4429,49.42,5.4,mb,,46,2.665,0.99,us,us20004gug,2015-12-13T09:49:46.553Z,"200km NNW of Tobelo, Indonesia",earthquake
2015-12-12T23:32:53.960Z,-41.1661,-90.2094,10,5,mb,,150,13.769,0.82,us,us20004gtz,2015-12-13T07:35:30.578Z,"Southeast of Easter Island",earthquake
2015-12-12T23:30:34.480Z,0.6414,-24.9984,10,4.9,mb,,97,20.966,0.9,us,us20004gu0,2015-12-13T07:33:10.248Z,"Central Mid-Atlantic Ridge",earthquake
2015-12-12T22:04:02.970Z,31.2344,129.3678,17.7,4.5,mb,,101,0.967,0.93,us,us20004gtj,2015-12-13T06:06:33.916Z,"90km W of Makurazaki, Japan",earthquake
2015-12-12T21:05:53.410Z,38.9428,141.8377,49.79,4.5,mb,,144,1.351,1.37,us,us20004gsy,2015-12-13T05:08:31.673Z,"17km SE of Ofunato, Japan",earthquake
2015-12-12T15:13:52.210Z,51.939,178.4137,126.22,4.8,mb,,96,0.788,0.56,us,us20004grd,2015-12-12T23:16:28.531Z,"6km W of Little Sitkin Island, Alaska",earthquake
2015-12-12T15:08:58.170Z,-35.0098,-71.9628,42.79,5,mb,,152,0.026,1.08,us,us20004grc,2015-12-13T18:00:55.317Z,"54km NNW of Talca, Chile",earthquake
2015-12-12T14:46:26.780Z,-10.1733,161.1561,71.07,4.8,mb,,75,1.397,1,us,us20004gr8,2015-12-12T22:48:54.775Z,"89km WNW of Kirakira, Solomon Islands",earthquake
2015-12-12T12:14:39.100Z,-12.802,-14.6781,10,4.8,mb,,65,4.848,0.77,us,us20004gpw,2015-12-12T20:17:14.334Z,"Southern Mid-Atlantic Ridge",earthquake
2015-12-12T11:34:38.740Z,16.3092,-96.7684,44.77,4.5,mb,,178,2.125,1.22,us,us20004gpr,2015-12-12T19:37:23.642Z,"10km SE of San Vicente Coatlan, Mexico",earthquake
2015-12-12T08:34:46.210Z,37.7914,21.0804,10,4.5,mwr,,85,0.908,0.97,us,us20004gp7,2015-12-12T16:37:26.955Z,"7km SSW of Ayios Nikolaos, Greece",earthquake
2015-12-12T01:33:18.890Z,5.6352,-77.5904,36.32,4.6,mb,,127,2.117,1.53,us,us20004gnc,2015-12-12T09:35:54.470Z,"36km WSW of Nuqui, Colombia",earthquake
2015-12-12T00:45:35.490Z,-19.9475,-71.0373,15.41,4.5,mwr,,156,0.91,0.66,us,us20004gn3,2015-12-12T08:48:12.892Z,"98km WNW of Iquique, Chile",earthquake
2015-12-12T00:32:20.510Z,19.0094,-69.2878,24.35,4.5,mwr,,63,0.99,0.7,us,us20004gn1,2015-12-12T02:39:06.157Z,"10km ENE of El Valle, Dominican Republic",earthquake
2015-12-11T22:05:39.520Z,-47.6683,85.7123,10,5,mb,,65,22.998,0.94,us,us20004gm0,2015-12-12T06:08:10.458Z,"Southeast Indian Ridge",earthquake
2015-12-11T13:02:45.980Z,-4.092,129.5505,51.69,4.8,mb,,37,2.934,0.78,us,us20004gdz,2015-12-11T21:05:13.793Z,"109km SE of Amahai, Indonesia",earthquake
2015-12-11T11:18:26.820Z,-17.9995,-178.4501,586.32,4.7,mb,,80,3.34,0.96,us,us20004gdh,2015-12-11T19:20:55.272Z,"289km SE of Lambasa, Fiji",earthquake
2015-12-11T11:11:58.440Z,-17.8628,-178.5208,580.81,4.7,mb,,79,3.266,0.87,us,us20004gdg,2015-12-11T19:14:25.746Z,"274km SE of Lambasa, Fiji",earthquake
